Umuwell,covidqpcr,newpcr
a4,803316.5,
a5,21064547,351075.8
a6,546854.8,9114247
a10,8349540,
a11,855311.6,
a12,2186809,
b4,79.48288,
b5,92.50537,1.541756
b6,84.80582,1.41343
b10,177.1305,
b11,226806,
b12,270.0792,
c4,361.6791,
c5,1097996,18299.93
c6,1918833,31.98054
c10,104.5569,
c11,1037416,
c12,1524456,
d4,25796320,
d5,1403976,23399.6
d6,34430481,573841.4
d10,52184657,
d11,39535006,
d12,37976669,
e4,5112179,
e5,8072906,134548.4
e6,6025488,100424.8
e10,610636.1,
e11,17185906,
e12,5011860,
f4,12834308,
f5,55087316,918121.9
f6,74573386,1242890
f10,47387970,
f11,92638962,
f12,73359630,
k4,37709.65,
k5,137499.9,2291666
k6,391824,6530399
k10,166759.2,
k11,7242.39,
k12,2164954,
l4,151958.8,
l5,22.09956,0.368326
l6,21.83138,0.363856
l10,46682.77,
l11,927.8445,
l12,14060.7,
m4,18444.4,
m5,9.138173,0.152303
m6,6.419057,0.106984
m10,445.5416,
m11,152.0483,
m12,5072.73,
a2,0,0
b2,0,0
c2,0,0
d2,0,0
e2,0,0
f2,0,0
k2,0,0
l2,0,0
m2,0,0
tube1,0,0
tube2,0,0
tube3,0,0
tube4,NA,551526.3
tube5,NA,966318.8
tube6,NA,353834.2
tube7,NA,9277023
tube8,NA,5738921
tube9,NA,42451.18
tube10,NA,275319.2
tube11,NA,99503.85
tube12,NA,203982.2
