genelist,sublist,symbol
differentiation,ciliated,FOXJ1
differentiation,ciliated,CCDC153
differentiation,ciliated,CCDC113
differentiation,ciliated,MLF1
differentiation,ciliated,TUBA1A
differentiation,goblet,MUC5AC
differentiation,goblet,MUC5B
differentiation,claraclub,SCGB1A1
differentiation,basal,TP63
differentiation,basal,KRT5
differentiation,basal,DAPL1
differentiation,tj,TJP1
sarsreceptor,,ACE2
sarsreceptor,,TMPRSS
sarsreceptor,,TMPRSS4
sarsreceptor,,TMPRSS13
ifnresp,,IFNB1
ifnresp,,IFNL1
ifnresp,,IFNL2
ifnresp,,IFNL3
ifnresp,,IFNAR1
ifnresp,,IFNLR1
ifnresp,,IFI27
ifnresp,,IFITM3
ifnresp,,IFI6
ifnresp,,IFIT1
ifnresp,,MX1
ifnresp,,ISG15
ifnresp,,CCL2
ifnresp,,CXCL9
ifnresp,,CXCL10
ifnresp,,CXCL11
ifnresp,,CXCL16
ifnresp,,IL1A
ifnresp,,IL1B
ifnresp,,IL1RN
ifnresp,,IL6
ifnresp,,IL10
ifnresp,,TNF
isg,,MX1
isg,,MX2
isg,,RSAD2
isg,,ISG15
isg,,IRF1
isg,,OAS1
isg,,ISG20
isg,,IFIH1
isg,,IFITM3
isg,,TRIM25
isg,,DDX58
isg,,APOBEC3F
isg,,APOBEC3G
barrier,,MUC5AC
barrier,,MUC5B
barrier,,MUC1
barrier,,MUC4
barrier,,MUC20
barrier,,MUC21
barrier,,DEFB4A
barrier,,SFTPD
barrier,,SFTPA1
barrier,,SFTPA2
barrier,,IL33
hya,,HAS1
hya,,HAS2
hya,,HAS3
hya,,HYAL1
hya,,HYAL2
hya,,HYAL3
hya,,CEMIP
hya,,CD44
hya,,HMMR
hya,,LYVE1
hya,,TLR2
hya,,TLR4
hya,,LAYN
hya,,VCAN
hya,,ACAN
hya,,TNFAIP6
hya,,ITIH1
hya,,ITIH2
hya,,ITIH3
hya,,ITIH4
hya,,ITIH5
hya,,ITIH6
hya,,HAPLN1
hya,,HABP2
hya,,IL1B
hya,,IL6
hya,,IL10
hya,,COL1A1
hya,,COL3A1
hya,,COL6A1
hya,,UGDH
hya,,TGFB1
hya,,TGFB2
hya,,TGFB3
hya,,C1QBP
hya,,STAB1
hya,,THBS1
hya_go,GO:0005540,A8K144
hya_go,,A8K309
hya_go,,A8K7T8
hya_go,,ACAN
hya_go,,B3KSK0
hya_go,,B4DJ06
hya_go,,B4DMC3
hya_go,,B4DN59
hya_go,,B4DV15
hya_go,,B4DZK6
hya_go,,B4E2X0
hya_go,,B7Z1Z4
hya_go,,B7Z3R6
hya_go,,BCAN
hya_go,,C1QBP
hya_go,,CD44
hya_go,,CEMIP
hya_go,,CHODL
hya_go,,CSPG2
hya_go,,CSPG3
hya_go,,DKFZp434E0321
hya_go,,DKFZp686K06110
hya_go,,HABP2
hya_go,,HAPLN1
hya_go,,HAPLN2
hya_go,,HAPLN3
hya_go,,HAPLN4
hya_go,,HMMR
hya_go,,HYAL2
hya_go,,IMPG1
hya_go,,IMPG2
hya_go,,LAYN
hya_go,,LYVE1
hya_go,,NCAN
hya_go,,Q0PNF2
hya_go,,Q59F90
hya_go,,Q59FG9
hya_go,,STAB1
hya_go,,STAB2
hya_go,,SUSD5
hya_go,,TNFAIP6
hya_go,,USP17L24
hya_go,,USP17L6P
hya_go,,VCAN
hya_go,,XLKD1
hya_go,bonus,SPAM1
hya_go,,AP2A1
hya_go,,PDGFB
hya_go,,EGF
hya_go,,TGFB1
hya_go,,NFKB1
hya_go,,CLTC
hya_go,,HAS2
hya_go,,SMPD3
